Metal_Type,Concentration_mg_L,Frequency_Hz,Real_Impedance_ohm,Imag_Impedance_ohm,Magnitude_ohm,Phase_deg,Charge_Transfer_Resistance_ohm,Double_Layer_Capacitance_F,Temperature_C,pH,Conductivity_uS_cm,Target,regulatory_threshold_mg_L,exceedance_ratio,Contamination_Status_Regulatory,Safety_Status_Regulatory,Real_Impedance_abs,Imag_Impedance_abs,Impedance_real_imag_ratio,Impedance_magnitude_log1p,Frequency_log10,Charge_Transfer_Resistance_log1p,Capacitance_log10_abs,Conductance_proxy,Phase_rad,Phase_sin,Phase_cos,Temp_pH_interaction,Conductivity_pH_ratio,Rct_Cdl_product,Normalized_Rct_by_Z
Cu,1.3702658576772393,1000,796.2174289686021,-242.54814500424467,832.341154117932,-16.942073577538093,848.6648322286115,3.873765898942166e-06,23.407868797733244,6.489878091387313,513.7208427139869,2,2.0,0.6851329288386196,Safe,Safe,796.2174289686021,242.54814500424467,3.2827191028460985,6.725443107085662,3.0,6.744841956696587,-5.411754531059301,0.0012014304411735377,-0.2956949660431745,-0.29140472485862295,0.9565998569569568,151.91421487647764,79.15724076798703,0.0032875288867186695,1.0196117637928872
Hg,0.2938554263202612,10,3418.6932003744905,-1048.2115347020408,3575.7811202266257,-17.046155365132844,3513.207819407812,2.5681181392143653e-06,20.061521756452507,6.200286575476702,556.0676495250314,3,0.006,48.9759043867102,Heavy contamination,Unsafe,3418.6932003744905,1048.2115347020408,3.2614535207752784,8.182218546508006,1.0,8.16456940741033,-5.590215924527265,0.00027965917554157853,-0.29751153592806434,-0.29314197358802746,0.956068921846598,124.38718403016627,89.68418518503631,0.009022332727850949,0.9825008022818158
Cd,0.8856512522887674,10,1098.7874439522311,-324.17601883578163,1145.6107271561727,-16.437676896088092,1186.479571620171,4.619718067927262e-06,25.14402673755058,7.614997463313322,558.8882401842787,0,0.003,295.2170840962558,Heavy contamination,Unsafe,1098.7874439522311,324.17601883578163,3.389477876540449,7.044565676052508,1.0,7.079588332914653,-5.335290529052981,0.0008728968543106217,-0.28689158321573904,-0.28297222708494163,0.9591281033827485,191.47169982393,73.39309603232759,0.005481201114240302,1.0356742857710612
Cu,2.4644497728191226,10000,428.5652972763198,-170.0623899338233,461.07421365713367,-21.644065040235866,512.5567613144673,3.240015956915674e-06,34.53289003201682,6.270479655969445,451.2961052736212,2,2.0,1.2322248864095613,Low contamination,Unsafe,428.5652972763198,170.0623899338233,2.5200474804603665,6.13572551380272,4.0,6.241360561359955,-5.489318830743981,0.0021688482469363517,-0.3777601984679148,-0.36883951627857897,0.9294930936975185,216.53778440759152,71.97154443711806,0.0016606920854838924,1.1116578332322564
Cu,2.6131222957228992,1000,359.72944904623085,-109.75797036595458,376.1011679986631,-16.96760563629923,375.9806882911068,2.8015603056237245e-06,30.4245119090877,7.190746733097787,505.8348906363699,2,2.0,1.3065611478614496,Low contamination,Unsafe,359.72944904623085,109.75797036595458,3.277479055448501,5.932513501577635,3.0,5.932193961443957,-5.552445033463471,0.002658859065284519,-0.29614058453336906,-0.291830974495524,0.9564699066489195,218.77495961636708,70.34525193854381,0.0010533325719974515,0.9996796614347223
Hg,0.3464525150198228,100,2851.668424753558,-855.1800217801642,2977.1371608289,-16.693336155932528,3200.803128483136,3.5866910126396207e-06,26.01988165911836,6.685480827177692,592.0959503121956,3,0.006,57.74208583663714,Heavy contamination,Unsafe,2851.668424753558,855.1800217801642,3.3345826049749374,7.99905327021854,2.0,8.071469407744877,-5.4451849673235975,0.00033589315707619003,-0.29135367906323617,-0.2872491173843208,0.9578559101252802,173.95541995746828,88.56445265935902,0.011480291814159245,1.0751278680055463
Cd,0.7230489080660673,10000,1325.3141744230884,-381.7022446680223,1379.1860877022211,-16.066870098307362,1440.0792384422398,4.811215392996693e-06,22.888641460202606,6.451956769310367,417.92690896416553,0,0.003,241.01630268868908,Heavy contamination,Unsafe,1325.3141744230884,381.7022446680223,3.4721152231427963,7.229973615221353,4.0,7.273147582997244,-5.3176549420353565,0.0007250653185353071,-0.2804197837056885,-0.27675905961606195,0.9609393440381307,147.67652520947215,64.7752184092922,0.006928531399128259,1.044151511737205
Cd,0.8642760864087874,1000,1069.4462420946195,-301.36142763982895,1111.0958441104078,-15.737413292523645,1084.6376334884133,4.178209177686822e-06,25.341345106321207,7.278936878984208,536.6099796059127,0,0.003,288.0920288029291,Heavy contamination,Unsafe,1069.4462420946195,301.36142763982895,3.5487164049714277,7.014001661843088,3.0,6.9899227739924035,-5.3789058910144005,0.0009000123664396782,-0.2746696777016591,-0.2712290116440065,0.9625148431284659,184.4580514574674,73.72092771974647,0.0045318429147058045,0.9761872832454392
Cu,1.499336017718372,1000,647.4657152617027,-204.3111069566652,678.9365808860251,-17.51335651169278,710.6423903940997,1.1600525221404974e-06,22.54759149951872,6.914004618753881,592.4528156070344,2,2.0,0.749668008859186,Safe,Safe,647.4657152617027,204.3111069566652,3.16901868382448,6.521999530417946,3.0,6.5675755245543845,-5.93514813378437,0.0014728916192636257,-0.30566573420462784,-0.30092811715938955,0.9536468257708955,155.89415176944817,85.6888081784539,0.0008243824973166274,1.046699221104939
Pb,1.2341374454647107,100,818.185195032812,-248.46783880244223,855.0808618429236,-16.89257385596802,933.0852866688526,2.3292396429598388e-06,21.59458731969427,6.800290934569119,460.1154216108045,1,0.01,123.41374454647107,Heavy contamination,Unsafe,818.185195032812,248.46783880244223,3.2929219289425276,6.752364836449997,2.0,6.839567747409982,-5.632599413624922,0.001169480039400681,-0.2948310329229563,-0.290578177912822,0.9568512541251458,146.8494763858782,67.66113773223398,0.002173379239971637,1.0912246178176854
