Metal_Type,Concentration_mg_L,Frequency_Hz,Real_Impedance_ohm,Imag_Impedance_ohm,Magnitude_ohm,Phase_deg,Charge_Transfer_Resistance_ohm,Double_Layer_Capacitance_F,Temperature_C,pH,Conductivity_uS_cm,Target
Cu,1.3702658576772393,1000,796.2174289686021,-242.54814500424467,832.341154117932,-16.942073577538093,848.6648322286115,3.873765898942166e-06,23.407868797733244,6.489878091387313,513.7208427139869,2
Hg,0.2938554263202612,10,3418.6932003744905,-1048.2115347020408,3575.7811202266257,-17.046155365132844,3513.207819407812,2.5681181392143653e-06,20.061521756452507,6.200286575476702,556.0676495250314,3
Cd,0.8856512522887674,10,1098.7874439522311,-324.17601883578163,1145.6107271561727,-16.437676896088092,1186.479571620171,4.619718067927262e-06,25.14402673755058,7.614997463313322,558.8882401842787,0
Cu,2.4644497728191226,10000,428.5652972763198,-170.0623899338233,461.07421365713367,-21.644065040235866,512.5567613144673,3.240015956915674e-06,34.53289003201682,6.270479655969445,451.2961052736212,2
Cu,2.6131222957228992,1000,359.72944904623085,-109.75797036595458,376.1011679986631,-16.96760563629923,375.9806882911068,2.8015603056237245e-06,30.4245119090877,7.190746733097787,505.8348906363699,2
Hg,0.3464525150198228,100,2851.668424753558,-855.1800217801642,2977.1371608289,-16.693336155932528,3200.803128483136,3.5866910126396207e-06,26.01988165911836,6.685480827177692,592.0959503121956,3
Cd,0.7230489080660673,10000,1325.3141744230884,-381.7022446680223,1379.1860877022211,-16.066870098307362,1440.0792384422398,4.811215392996693e-06,22.888641460202606,6.451956769310367,417.92690896416553,0
Cd,0.8642760864087874,1000,1069.4462420946195,-301.36142763982895,1111.0958441104078,-15.737413292523645,1084.6376334884133,4.178209177686822e-06,25.341345106321207,7.278936878984208,536.6099796059127,0
Cu,1.499336017718372,1000,647.4657152617027,-204.3111069566652,678.9365808860251,-17.51335651169278,710.6423903940997,1.1600525221404974e-06,22.54759149951872,6.914004618753881,592.4528156070344,2
Pb,1.2341374454647107,100,818.185195032812,-248.46783880244223,855.0808618429236,-16.89257385596802,933.0852866688526,2.3292396429598388e-06,21.59458731969427,6.800290934569119,460.1154216108045,1
Cu,1.4424188836392045,10000,688.4487030444266,-221.85702752554135,723.3133189607543,-17.861870128979383,759.1138283914573,2.882178739804891e-06,33.601135588588306,7.185704009784443,572.2895842808696,2
Cu,2.9753360159932942,1000,315.29814644401534,-117.15069502935847,336.3587467227417,-20.38281530446348,370.292831524392,2.258070288836421e-06,34.964755075632105,6.982535256980001,586.7315090816544,2
Cu,2.8881186793732265,1000,298.9588561489719,-83.48976125707888,310.39803141235564,-15.60336887785752,316.23491214878135,3.800750243321827e-06,22.461716593936856,6.606968417103122,549.417241878965,2
Cu,1.0788536227370118,1000,957.3221135880918,-312.6683450483595,1007.0884385991388,-18.08741335878192,973.8357613816784,4.305076599450325e-06,20.817838383174195,7.118122575530503,446.2656624613917,2
Hg,0.3675088276320598,100,2655.166478314164,-804.8424815056864,2774.469399290515,-16.863272052272443,3152.514001677391,3.925380380741087e-06,24.945966607193185,7.338997153101389,466.8001437653188,3
Cd,0.9327234856740992,10000,1110.9305050790556,-353.1826307217014,1165.7206173688048,-17.63629531415488,1194.9604773991434,4.9573331473131015e-06,26.924887711421228,6.053386317173708,407.1618588835461,0
Hg,0.1312589053073001,10000,7568.419851094982,-2259.5322916026894,7898.510316461193,-16.62285946474666,8440.915694675588,2.0901905915721167e-06,23.072318706137818,6.931743457815351,566.290646849071,3
Hg,0.3055753537486833,10000,3234.8934712242085,-934.4394393819327,3367.1520363716027,-16.112023109048195,3747.3026196057554,4.499957980097686e-06,24.521373676978374,6.115366569167088,569.922237302216,3
Hg,0.4619697339146188,10000,2091.304712978506,-653.4231735496184,2191.0082716087054,-17.35129028143088,2226.952451727772,4.066490660697945e-06,23.013061035374864,6.372810828136222,526.5420619932386,3
Cu,1.0678919571715977,10,911.3542128168932,-310.4666335030193,962.785558542398,-18.81218832474778,1041.890126604539,2.4487150302325847e-06,31.613908526486767,7.121017468155946,470.5055702527703,2
Pb,1.54613040087026,10,695.5415995408368,-211.1602175692524,726.8884055862494,-16.887821465738973,714.3794882228913,3.936498174627875e-06,30.68866914870891,7.732377830531162,415.3622055279841,1
Cd,0.3676141066352957,10000,2746.0252197447817,-823.4936100042793,2866.844298735503,-16.693234241175112,2906.005214980837,1.416303825672988e-06,29.524272736414726,7.76561135837697,550.6115219829819,0
Pb,1.886594293064796,100,578.9767745261115,-169.31984622268752,603.2274162913473,-16.301384704733056,595.7335939961004,4.15733392936221e-06,25.80826785618807,6.139888020277263,545.3052387219846,1
Hg,0.4869762103244155,10,2079.595529397113,-632.8050691238208,2173.7432740315176,-16.924605408534973,2417.0018179094704,3.1293224103484105e-06,33.63561411971354,6.8382101725734135,582.5205043477802,3
Hg,0.4749199201010453,1000,2050.434651074721,-619.1431812989249,2141.8731375309944,-16.802060509942507,2141.7401924635783,2.169160690837013e-06,34.542988123025296,7.166012966009102,546.1064042010725,3
Pb,1.2113213249861956,10,809.0053214707395,-235.3513882304098,842.5436998221254,-16.22048006120056,925.0819802637084,3.623109207136721e-06,22.60458968938118,6.294139809100686,565.7389884488003,1
Pb,1.7930639764839702,1000,518.694628051427,-134.7997705625313,535.9245238959674,-14.567921831453496,616.5513903115951,3.5664799948576367e-06,23.34518962117817,7.530864433489543,549.1909235807999,1
Pb,1.7668240978026055,10000,632.5160448112891,-228.8557888497524,672.6451657700062,-19.89104370343385,699.2809228596018,1.8379448908783988e-06,27.884465420005544,7.488470516874478,526.1374376624633,1
Hg,0.193595212959465,10,5105.577546296747,-1539.0520526696532,5332.504411819664,-16.775182970321346,5657.009729966933,1.1215896592461044e-06,21.36875853923368,7.806682027413589,485.39327883820187,3
Hg,0.4230119633678048,100,2408.6842192365198,-718.3290898921344,2513.5147402361304,-16.605879320618715,2630.7810752396203,2.7344903476066955e-06,26.546725982346693,6.016972024166886,580.4234617284555,3
Cd,0.1333068712439433,10,7546.136481506934,-2282.2004665442946,7883.692965040232,-16.82704734145939,8037.978781512192,3.278047477377685e-06,28.72686897166565,6.433368487978005,530.1937143814939,0
Cd,0.6366428906338477,10,1662.2202969164332,-464.0426964395839,1725.7786473357107,-15.59815974411497,1820.3489862631957,4.506421113482394e-06,27.83110356706,7.6543734284906435,479.6710643931818,0
Hg,0.1535039767794663,10,6494.004877619905,-1960.909660890546,6783.602733704634,-16.802053715567457,7276.931888581175,4.7128671825903786e-06,24.963628746170397,7.341160101653871,416.6938590363915,3
Pb,0.6808503286659182,10000,1504.3676938957467,-452.13616190886967,1570.8434891302477,-16.728096479930468,1801.0264674211498,3.115220872627066e-06,28.1366870911581,7.788779707396982,458.1409711808764,1
Pb,0.6154298024438137,100,1738.9632785098008,-510.5685416160945,1812.366828126564,-16.36250956989458,2065.110905018264,4.01521393507418e-06,34.38201431388272,6.114359309060533,508.74534696603297,1
Cd,0.7266598982903257,10,1345.2775230791751,-415.4089526997904,1407.954620037584,-17.16019242329449,1577.244522328766,2.757213089311988e-06,23.09026106437064,7.193927931432886,455.1270740032389,0
Hg,0.2029437336956298,100,4850.72212929743,-1492.1480997453173,5075.038041948982,-17.098609312260187,5713.3071623729575,3.984328626291573e-06,29.82247037591005,7.138093149787348,444.2470695835804,3
Cd,0.7522900943758853,10000,1235.2739463878604,-379.1552744546888,1292.153413790889,-17.06335677510528,1350.8583277797602,1.819206099756668e-06,20.650950412340777,6.071348832721065,505.4787028175695,0
Cd,0.1588207067190481,1000,6332.043800715141,-1879.024329096001,6604.96109931843,-16.528175345349553,7164.6370559590205,2.484258939214126e-06,20.996246067221524,7.027044153824967,433.9640691791469,0
Cu,1.630580675661221,10,519.1209461165481,-162.4741863706672,543.952587946551,-17.3790475055252,612.0505229261653,3.5369119952544592e-06,28.277423363353776,7.219040622619849,560.0820126650207,2
Cu,2.0789825847506744,100,462.3885576048945,-155.64525331064792,487.8817716230753,-18.603818995612496,498.7277450917129,1.0726318624283152e-06,21.574087704919243,6.382586348404215,496.8736302685316,2
Cu,2.5814463296779278,100,409.2453962472583,-104.26017468412306,422.3173905663125,-14.292747164974958,487.9647695565056,3.889845241355816e-06,20.33520182640286,6.546659166249325,514.7725547925301,2
Pb,0.9781287543981048,10000,1031.6190699047067,-316.1012188918731,1078.961484936316,-17.03573137718683,1117.405636030937,4.342142005072668e-06,22.57269496472033,7.280694692595474,429.4766535194697,1
Hg,0.3316511193966541,10,3036.488961968424,-921.1499048635314,3173.134469792632,-16.875709276669077,3401.5251377078357,2.596566644375806e-06,28.47273756499361,6.936601895199916,464.9152671258735,3
