,missing_count,missing_percent
Metal_Type,0,0.0
Concentration_mg_L,0,0.0
Frequency_Hz,0,0.0
Real_Impedance_ohm,0,0.0
Imag_Impedance_ohm,0,0.0
Magnitude_ohm,0,0.0
Phase_deg,0,0.0
Charge_Transfer_Resistance_ohm,0,0.0
Double_Layer_Capacitance_F,0,0.0
Temperature_C,0,0.0
pH,0,0.0
Conductivity_uS_cm,0,0.0
Target,0,0.0
regulatory_threshold_mg_L,0,0.0
exceedance_ratio,0,0.0
Contamination_Status_Regulatory,0,0.0
Safety_Status_Regulatory,0,0.0
Real_Impedance_abs,0,0.0
Imag_Impedance_abs,0,0.0
Impedance_real_imag_ratio,0,0.0
Impedance_magnitude_log1p,0,0.0
Frequency_log10,0,0.0
Charge_Transfer_Resistance_log1p,0,0.0
Capacitance_log10_abs,0,0.0
Conductance_proxy,0,0.0
Phase_rad,0,0.0
Phase_sin,0,0.0
Phase_cos,0,0.0
Temp_pH_interaction,0,0.0
Conductivity_pH_ratio,0,0.0
Rct_Cdl_product,0,0.0
Normalized_Rct_by_Z,0,0.0
