feature,importance_mean,importance_std
Real_Impedance_ohm,0.043372796771056474,0.01091203959251698
Double_Layer_Capacitance_F,0.03200893389016717,0.0069625080653665
Impedance_magnitude_log1p,0.027635040600004657,0.014022083274749646
Phase_sin,0.025650018403266164,0.004242396441202616
Conductance_proxy,0.02490645293962473,0.01104393362654593
pH,0.022205863668279657,0.005990034821753514
Imag_Impedance_ohm,0.02203803158676186,0.009047042139895533
Charge_Transfer_Resistance_log1p,0.021923453763567524,0.00982790834322735
Impedance_real_imag_ratio,0.021426557805742947,0.005077000843233519
Temperature_C,0.02095994859254764,0.00867629874200644
Charge_Transfer_Resistance_ohm,0.01969425740048353,0.009024371928753203
Magnitude_ohm,0.019178392265884508,0.011605764133744588
Temp_pH_interaction,0.018617728455246837,0.006422118427279561
Phase_rad,0.01849277411979074,0.004605835478176316
Phase_deg,0.017673318121463517,0.005742710011034092
Conductivity_uS_cm,0.01755756747208573,0.00552063161253768
Conductivity_pH_ratio,0.016861105619600473,0.006447489454920202
Capacitance_log10_abs,0.015550430801746081,0.00695194059284673
Rct_Cdl_product,0.015265400440740354,0.00972881381970325
Phase_cos,0.014694726722883522,0.007694237347995727
Frequency_Hz,0.014402018905790211,0.0062763142902394365
Real_Impedance_abs,0.013463045406492725,0.007700231051853269
Frequency_log10,0.011957609923585084,0.005835830155478963
Imag_Impedance_abs,0.010688389079352819,0.011013324600725335
Normalized_Rct_by_Z,0.010158894240118111,0.0064313099797934
