predicted_metal,predicted_concentration_mg_L,regulatory_threshold_mg_L,predicted_exceedance_ratio,predicted_status,predicted_safety,scenario_pH
Pb,1.8092159828709817,0.01,180.92159828709816,Heavy contamination,Unsafe,6.019329332094923
Pb,1.8047374385736226,0.01,180.47374385736225,Heavy contamination,Unsafe,6.044166594983391
Pb,1.80672720752851,0.01,180.67272075285098,Heavy contamination,Unsafe,6.069003857871859
Pb,1.8067175297793345,0.01,180.67175297793344,Heavy contamination,Unsafe,6.093841120760327
Pb,1.8063155256865806,0.01,180.63155256865807,Heavy contamination,Unsafe,6.1186783836487955
Pb,1.803623920494633,0.01,180.3623920494633,Heavy contamination,Unsafe,6.143515646537264
Pb,1.8083703496992136,0.01,180.83703496992135,Heavy contamination,Unsafe,6.168352909425732
Pb,1.8121705373751515,0.01,181.21705373751516,Heavy contamination,Unsafe,6.1931901723142
Pb,1.8103779502287136,0.01,181.03779502287136,Heavy contamination,Unsafe,6.218027435202668
Pb,1.8106184350447734,0.01,181.06184350447734,Heavy contamination,Unsafe,6.242864698091136
Pb,1.8105255828939855,0.01,181.05255828939855,Heavy contamination,Unsafe,6.267701960979604
Pb,1.8078183628008306,0.01,180.78183628008307,Heavy contamination,Unsafe,6.292539223868072
Pb,1.807580252784007,0.01,180.7580252784007,Heavy contamination,Unsafe,6.31737648675654
Pb,1.8076404522424256,0.01,180.76404522424255,Heavy contamination,Unsafe,6.342213749645008
Pb,1.8104786463967375,0.01,181.04786463967375,Heavy contamination,Unsafe,6.3670510125334765
Pb,1.8104786463967375,0.01,181.04786463967375,Heavy contamination,Unsafe,6.391888275421945
Pb,1.8104786463967375,0.01,181.04786463967375,Heavy contamination,Unsafe,6.416725538310413
Pb,1.8080009485488069,0.01,180.80009485488068,Heavy contamination,Unsafe,6.441562801198881
Pb,1.807477195729765,0.01,180.7477195729765,Heavy contamination,Unsafe,6.466400064087349
Pb,1.8005170143252978,0.01,180.05170143252977,Heavy contamination,Unsafe,6.491237326975817
Pb,1.7989040140556822,0.01,179.8904014055682,Heavy contamination,Unsafe,6.516074589864285
Pb,1.7993340109060139,0.01,179.9334010906014,Heavy contamination,Unsafe,6.540911852752753
Pb,1.7991541302560787,0.01,179.91541302560788,Heavy contamination,Unsafe,6.565749115641221
Pb,1.798095397698229,0.01,179.8095397698229,Heavy contamination,Unsafe,6.590586378529689
Pb,1.7963705846384634,0.01,179.63705846384633,Heavy contamination,Unsafe,6.6154236414181575
Pb,1.7963705846384634,0.01,179.63705846384633,Heavy contamination,Unsafe,6.640260904306626
Pb,1.795049420244418,0.01,179.5049420244418,Heavy contamination,Unsafe,6.665098167195094
Pb,1.794930729787533,0.01,179.4930729787533,Heavy contamination,Unsafe,6.689935430083562
Pb,1.7953678615759419,0.01,179.53678615759418,Heavy contamination,Unsafe,6.71477269297203
Pb,1.7953678615759419,0.01,179.53678615759418,Heavy contamination,Unsafe,6.739609955860498
Pb,1.7935416668682778,0.01,179.35416668682777,Heavy contamination,Unsafe,6.764447218748966
Pb,1.7955063653764198,0.01,179.550636537642,Heavy contamination,Unsafe,6.789284481637434
Pb,1.8001425052140907,0.01,180.01425052140905,Heavy contamination,Unsafe,6.814121744525902
Pb,1.799741395346306,0.01,179.97413953463058,Heavy contamination,Unsafe,6.8389590074143705
Pb,1.8010979263658955,0.01,180.10979263658953,Heavy contamination,Unsafe,6.863796270302839
Pb,1.7995466011322092,0.01,179.9546601132209,Heavy contamination,Unsafe,6.888633533191307
Pb,1.8008862931666214,0.01,180.08862931666215,Heavy contamination,Unsafe,6.913470796079775
Pb,1.8059335284796139,0.01,180.59335284796137,Heavy contamination,Unsafe,6.938308058968243
Pb,1.804607800560442,0.01,180.4607800560442,Heavy contamination,Unsafe,6.963145321856711
Pb,1.802521335483234,0.01,180.2521335483234,Heavy contamination,Unsafe,6.987982584745179
Pb,1.8026003510097013,0.01,180.26003510097013,Heavy contamination,Unsafe,7.012819847633647
Pb,1.8037057502561713,0.01,180.37057502561711,Heavy contamination,Unsafe,7.037657110522115
Pb,1.8057389599430695,0.01,180.57389599430695,Heavy contamination,Unsafe,7.062494373410583
Pb,1.8051358714774492,0.01,180.51358714774491,Heavy contamination,Unsafe,7.0873316362990515
Pb,1.8050961578652283,0.01,180.50961578652283,Heavy contamination,Unsafe,7.11216889918752
Pb,1.8061025309230807,0.01,180.61025309230806,Heavy contamination,Unsafe,7.137006162075988
