,predicted_metal,predicted_concentration_mg_L,regulatory_threshold_mg_L,predicted_exceedance_ratio,predicted_status,predicted_safety
count,1000,1000.0,1000.0,1000.0,1000,1000
unique,2,,,,3,2
top,Pb,,,,Heavy contamination,Unsafe
freq,527,,,,527,651
mean,,1.8170489803295546,0.95127,91.41241584603837,,
std,,0.15108848512349338,0.9940453778944471,85.98713097136438,,
min,,1.4482657517173454,0.01,0.7719297335281057,,
25%,,1.7040487713124264,0.01,0.9558597195034753,,
50%,,1.8052031696085509,0.01,156.79656813813807,,
75%,,1.8944552325777706,2.0,173.71982477436484,,
max,,2.375360893017329,2.0,193.37885716491695,,
